,match_id,game,blue_team,red_team,result,GEN,T1,DRX,DK,HLE,KT,LSB,NS,KDF,BRION
48,49,game_2,KDF,DRX,DRX,0.67,0.8,0.33,0.78,0.4,0.55,0.55,0.3,0.11,0.5
49,50,game_1,LSB,NS,LSB,0.67,0.8,0.33,0.78,0.4,0.55,0.58,0.27,0.11,0.5
50,51,game_2,NS,LSB,LSB,0.67,0.8,0.33,0.78,0.4,0.55,0.62,0.25,0.11,0.5
51,52,game_1,GEN,DK,GEN,0.7,0.8,0.33,0.7,0.4,0.55,0.62,0.25,0.11,0.5
52,53,game_2,GEN,DK,GEN,0.73,0.8,0.33,0.64,0.4,0.55,0.62,0.25,0.11,0.5
53,54,game_1,DRX,BRION,BRION,0.73,0.8,0.3,0.64,0.4,0.55,0.62,0.25,0.11,0.55
54,55,game_2,BRION,DRX,DRX,0.73,0.8,0.36,0.64,0.4,0.55,0.62,0.25,0.11,0.5
55,56,game_3,DRX,BRION,BRION,0.73,0.8,0.33,0.64,0.4,0.55,0.62,0.25,0.11,0.54
56,57,game_1,HLE,T1,T1,0.73,0.82,0.33,0.64,0.36,0.55,0.62,0.25,0.11,0.54
57,58,game_2,T1,HLE,HLE,0.73,0.75,0.33,0.64,0.42,0.55,0.62,0.25,0.11,0.54
58,59,game_3,HLE,T1,HLE,0.73,0.69,0.33,0.64,0.46,0.55,0.62,0.25,0.11,0.54
59,60,game_1,KT,KDF,KDF,0.73,0.69,0.33,0.64,0.46,0.5,0.62,0.25,0.2,0.54
60,61,game_2,KDF,KT,KDF,0.73,0.69,0.33,0.64,0.46,0.46,0.62,0.25,0.27,0.54
61,62,game_1,GEN,LSB,LSB,0.67,0.69,0.33,0.64,0.46,0.46,0.64,0.25,0.27,0.54
62,63,game_2,GEN,LSB,GEN,0.69,0.69,0.33,0.64,0.46,0.46,0.6,0.25,0.27,0.54
63,64,game_3,GEN,LSB,GEN,0.71,0.69,0.33,0.64,0.46,0.46,0.56,0.25,0.27,0.54
64,65,game_1,HLE,DRX,DRX,0.71,0.69,0.38,0.64,0.43,0.46,0.56,0.25,0.27,0.54
65,66,game_2,DRX,HLE,HLE,0.71,0.69,0.36,0.64,0.47,0.46,0.56,0.25,0.27,0.54
66,67,game_3,HLE,DRX,HLE,0.71,0.69,0.33,0.64,0.5,0.46,0.56,0.25,0.27,0.54
67,68,game_1,T1,NS,T1,0.71,0.71,0.33,0.64,0.5,0.46,0.56,0.23,0.27,0.54
68,69,game_2,NS,T1,NS,0.71,0.67,0.33,0.64,0.5,0.46,0.56,0.29,0.27,0.54
69,70,game_3,T1,NS,T1,0.71,0.69,0.33,0.64,0.5,0.46,0.56,0.27,0.27,0.54
70,71,game_1,BRION,KT,KT,0.71,0.69,0.33,0.64,0.5,0.5,0.56,0.27,0.27,0.5
71,72,game_2,KT,BRION,KT,0.71,0.69,0.33,0.64,0.5,0.53,0.56,0.27,0.27,0.47
72,73,game_1,KDF,DK,DK,0.71,0.69,0.33,0.67,0.5,0.53,0.56,0.27,0.25,0.47
73,74,game_2,KDF,DK,KDF,0.71,0.69,0.33,0.62,0.5,0.53,0.56,0.27,0.31,0.47
74,75,game_3,DK,KDF,DK,0.71,0.69,0.33,0.64,0.5,0.53,0.56,0.27,0.29,0.47
75,76,game_1,LSB,KDF,KDF,0.71,0.69,0.33,0.64,0.5,0.53,0.53,0.27,0.33,0.47
76,77,game_2,KDF,LSB,LSB,0.71,0.69,0.33,0.64,0.5,0.53,0.56,0.27,0.31,0.47
77,78,game_3,LSB,KDF,LSB,0.71,0.69,0.33,0.64,0.5,0.53,0.58,0.27,0.29,0.47
78,79,game_1,T1,BRION,T1,0.71,0.71,0.33,0.64,0.5,0.53,0.58,0.27,0.29,0.44
79,80,game_2,BRION,T1,T1,0.71,0.72,0.33,0.64,0.5,0.53,0.58,0.27,0.29,0.41
80,81,game_1,DK,KT,DK,0.71,0.72,0.33,0.67,0.5,0.5,0.58,0.27,0.29,0.41
81,82,game_2,KT,DK,KT,0.71,0.72,0.33,0.62,0.5,0.53,0.58,0.27,0.29,0.41
82,83,game_3,DK,KT,KT,0.71,0.72,0.33,0.59,0.5,0.56,0.58,0.27,0.29,0.41
83,84,game_1,GEN,NS,GEN,0.73,0.72,0.33,0.59,0.5,0.56,0.58,0.25,0.29,0.41
84,85,game_2,NS,GEN,GEN,0.75,0.72,0.33,0.59,0.5,0.56,0.58,0.24,0.29,0.41
85,86,game_1,BRION,HLE,HLE,0.75,0.72,0.33,0.59,0.53,0.56,0.58,0.24,0.29,0.39
86,87,game_2,BRION,HLE,BRION,0.75,0.72,0.33,0.59,0.5,0.56,0.58,0.24,0.29,0.42
87,88,game_3,BRION,HLE,HLE,0.75,0.72,0.33,0.59,0.53,0.56,0.58,0.24,0.29,0.4
88,89,game_1,DRX,LSB,LSB,0.75,0.72,0.31,0.59,0.53,0.56,0.6,0.24,0.29,0.4
89,90,game_2,DRX,LSB,DRX,0.75,0.72,0.35,0.59,0.53,0.56,0.57,0.24,0.29,0.4
90,91,game_3,LSB,DRX,LSB,0.75,0.72,0.33,0.59,0.53,0.56,0.59,0.24,0.29,0.4
91,92,game_1,KDF,NS,KDF,0.75,0.72,0.33,0.59,0.53,0.56,0.59,0.22,0.33,0.4
92,93,game_2,NS,KDF,KDF,0.75,0.72,0.33,0.59,0.53,0.56,0.59,0.21,0.37,0.4
93,94,game_1,KT,GEN,GEN,0.76,0.72,0.33,0.59,0.53,0.53,0.59,0.21,0.37,0.4
94,95,game_2,GEN,KT,KT,0.72,0.72,0.33,0.59,0.53,0.55,0.59,0.21,0.37,0.4
95,96,game_3,KT,GEN,KT,0.68,0.72,0.33,0.59,0.53,0.57,0.59,0.21,0.37,0.4
96,97,game_1,DK,HLE,DK,0.68,0.72,0.33,0.61,0.5,0.57,0.59,0.21,0.37,0.4
97,98,game_2,HLE,DK,DK,0.68,0.72,0.33,0.63,0.48,0.57,0.59,0.21,0.37,0.4
98,99,game_1,T1,DRX,T1,0.68,0.74,0.32,0.63,0.48,0.57,0.59,0.21,0.37,0.4
99,100,game_2,DRX,T1,T1,0.68,0.75,0.3,0.63,0.48,0.57,0.59,0.21,0.37,0.4
100,101,game_1,DRX,KT,KT,0.68,0.75,0.29,0.63,0.48,0.59,0.59,0.21,0.37,0.4
101,102,game_2,KT,DRX,KT,0.68,0.75,0.27,0.63,0.48,0.61,0.59,0.21,0.37,0.4
102,103,game_1,NS,HLE,HLE,0.68,0.75,0.27,0.63,0.5,0.61,0.59,0.2,0.37,0.4
103,104,game_2,NS,HLE,HLE,0.68,0.75,0.27,0.63,0.52,0.61,0.59,0.19,0.37,0.4
104,105,game_1,BRION,DK,DK,0.68,0.75,0.27,0.65,0.52,0.61,0.59,0.19,0.37,0.38
105,106,game_2,BRION,DK,DK,0.68,0.75,0.27,0.67,0.52,0.61,0.59,0.19,0.37,0.36
106,107,game_1,KDF,GEN,GEN,0.7,0.75,0.27,0.67,0.52,0.61,0.59,0.19,0.35,0.36
107,108,game_2,KDF,GEN,KDF,0.67,0.75,0.27,0.67,0.52,0.61,0.59,0.19,0.38,0.36
108,109,game_3,KDF,GEN,GEN,0.68,0.75,0.27,0.67,0.52,0.61,0.59,0.19,0.36,0.36
109,110,game_1,LSB,T1,LSB,0.68,0.71,0.27,0.67,0.52,0.61,0.61,0.19,0.36,0.36
110,111,game_2,T1,LSB,T1,0.68,0.73,0.27,0.67,0.52,0.61,0.58,0.19,0.36,0.36
111,112,game_3,LSB,T1,T1,0.68,0.74,0.27,0.67,0.52,0.61,0.56,0.19,0.36,0.36
112,113,game_1,HLE,DRX,HLE,0.68,0.74,0.26,0.67,0.54,0.61,0.56,0.19,0.36,0.36
113,114,game_2,DRX,HLE,HLE,0.68,0.74,0.25,0.67,0.56,0.61,0.56,0.19,0.36,0.36
114,115,game_1,KDF,BRION,KDF,0.68,0.74,0.25,0.67,0.56,0.61,0.56,0.19,0.39,0.35
115,116,game_2,BRION,KDF,BRION,0.68,0.74,0.25,0.67,0.56,0.61,0.56,0.19,0.38,0.38
116,117,game_3,KDF,BRION,BRION,0.68,0.74,0.25,0.67,0.56,0.61,0.56,0.19,0.36,0.4
117,118,game_1,NS,KT,KT,0.68,0.74,0.25,0.67,0.56,0.62,0.56,0.18,0.36,0.4
118,119,game_2,NS,KT,KT,0.68,0.74,0.25,0.67,0.56,0.64,0.56,0.17,0.36,0.4
119,120,game_1,T1,GEN,GEN,0.7,0.71,0.25,0.67,0.56,0.64,0.56,0.17,0.36,0.4
120,121,game_2,T1,GEN,T1,0.67,0.72,0.25,0.67,0.56,0.64,0.56,0.17,0.36,0.4
121,122,game_3,GEN,T1,T1,0.64,0.73,0.25,0.67,0.56,0.64,0.56,0.17,0.36,0.4
